"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dp34","Department of Planning, Industry and Environment representing the State of New South Wales","","Records provided by Department of Planning, Industry and Environment representing the State of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp34","","","","2719"
"dp32","South Australia, Department for Environment and Water","","Records provided by South Australia, Department for Environment and Water, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp32","","","","1424"
"co274","Museums Victoria DNA Laboratory","","Records provided by Museums Victoria DNA Laboratory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co274","","","","43"
"dp31","Citizen Science - ALA Website","","Records provided by Citizen Science - ALA Website, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp31","","","","1"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","3"
"co150","Queensland Museum Mammals","","Records provided by Queensland Museum Mammals, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co150","","","","4"
"dp30","Northern Territory Department of Environment and Natural Resources","","Records provided by Northern Territory Department of Environment and Natural Resources, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp30","","","","18"
"dr1097","Victorian Biodiversity Atlas","10.15468/khlfs3","Records provided by Victorian Biodiversity Atlas, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Copyright in the data and materials resides with the copyright owners as indicated next to the detailed records. In any reproduction, distribution or publication of the data, or in any use or adaptation of the data to create derivative works, the user must include a citation which attributes the source of the data and the date the data was published, as follows: Data Source: 'Victorian Biodiversity Atlas', © The State of Victoria, Department of Environment and Primary Industries (published [month, year]). Data Source: 'Victorian Biodiversity Atlas', (c) The State of Victoria, Department of Environment, Land, Water & Planning (published [month, year]). 
        Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int) 4.0)","For more information: https://collections.ala.org.au/public/show/dr1097","","","","5"
"co80","Australian Museum Mammalogy Collection","","Records provided by Australian Museum Mammalogy Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co80","","","","95"
"co118","Museums Victoria Mammalogy Collection","","Records provided by Museums Victoria Mammalogy Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co118","","","","11"
"co137","Museum and Art Gallery of the Northern Territory Mammal Collection","","Records provided by Museum and Art Gallery of the Northern Territory Mammal Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co137","","","","8"
"dr344","Queensland Museum provider for OZCAM","10.15468/lotsye","Queensland Museum, http://www.qm.qld.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr344","","","","4"
