"","genus_species","species","genus","family","order","publications","citations","journals","years_publishing","x","y"
"1","Homo sapiens","sapiens","Homo","Hominidae","Primates",8075,240399,3026,105,10.6104212410959,51.6909699332575
"2","Abditomys latidens","latidens","Abditomys","Muridae","Rodentia",0,0,0,NA,121,17
"3","Abeomelomys sevia","sevia","Abeomelomys","Muridae","Rodentia",3,34,3,27,146,-7.00107163467528
"4","Abrawayaomys chebezi","chebezi","Abrawayaomys","Cricetidae","Rodentia",2,11,2,7,NA,NA
"5","Abrawayaomys ruschii","ruschii","Abrawayaomys","Cricetidae","Rodentia",8,69,6,14,-43.9999999999998,-23.0037047626266
"6","Abrocoma bennettii","bennettii","Abrocoma","Abrocomidae","Rodentia",10,245,8,30,-71.0000000000001,-33.051077473023
"7","Abrocoma boliviensis","boliviensis","Abrocoma","Abrocomidae","Rodentia",3,28,3,20,-65,-17
"8","Abrocoma budini","budini","Abrocoma","Abrocomidae","Rodentia",0,0,0,NA,NA,NA
"9","Abrocoma cinerea","cinerea","Abrocoma","Abrocomidae","Rodentia",11,183,10,23,-69.2802774508361,-18.4910936027511
"10","Abrocoma famatina","famatina","Abrocoma","Abrocomidae","Rodentia",0,0,0,NA,-67,-29
"11","Abrocoma shistacea","shistacea","Abrocoma","Abrocomidae","Rodentia",0,0,0,NA,NA,NA
"12","Abrocoma uspallata","uspallata","Abrocoma","Abrocomidae","Rodentia",1,7,1,17,NA,NA
"13","Abrocoma vaccarum","vaccarum","Abrocoma","Abrocomidae","Rodentia",1,14,1,26,NA,NA
"14","Abrothrix andinus","andinus","Abrothrix","Cricetidae","Rodentia",12,237,10,32,-68.7976374357507,-25.9400471098072
"15","Abrothrix hershkovitzi","hershkovitzi","Abrothrix","Cricetidae","Rodentia",0,0,0,NA,-71,-55
"16","Abrothrix illuteus","illuteus","Abrothrix","Cricetidae","Rodentia",1,3,1,21,-65,-27
"17","Abrothrix jelskii","jelskii","Abrothrix","Cricetidae","Rodentia",3,31,3,12,-72.513140690942,-13.9623297042539
"18","Abrothrix lanosus","lanosus","Abrothrix","Cricetidae","Rodentia",2,27,2,12,-68.0000000000006,-55.012466461501
"19","Abrothrix longipilis","longipilis","Abrothrix","Cricetidae","Rodentia",61,1219,39,59,-72.3038296873054,-42.8178478023776
"20","Abrothrix manni","manni","Abrothrix","Cricetidae","Rodentia",2,4,2,4,-72.5112862385242,-40.5704494711089
"21","Abrothrix markhami","markhami","Abrothrix","Cricetidae","Rodentia",0,0,0,NA,-75,-49
"22","Abrothrix olivaceus","olivaceus","Abrothrix","Cricetidae","Rodentia",3562,69494,836,99,-71.9046429659888,-37.9008392435685
"23","Abrothrix sanborni","sanborni","Abrothrix","Cricetidae","Rodentia",7,120,4,28,-72.6377432537345,-44.1014802652149
"24","Acerodon celebensis","celebensis","Acerodon","Pteropodidae","Chiroptera",6,68,5,14,119,-3.00412081225847
"25","Acerodon humilis","humilis","Acerodon","Pteropodidae","Chiroptera",1,28,1,20,127,5
"26","Acerodon jubatus","jubatus","Acerodon","Pteropodidae","Chiroptera",6,154,6,17,123.665293613601,9.69013157978809
"27","Acerodon leucotis","leucotis","Acerodon","Pteropodidae","Chiroptera",1,78,1,18,119,9
"28","Acerodon mackloti","mackloti","Acerodon","Pteropodidae","Chiroptera",1,18,1,32,NA,NA
